id,year,dest,tonn,cashflow,discounted,z
7,1,2,16380.0,-12285.0,-12285.0,18
3,1,2,16380.0,-12285.0,-12285.0,18
0,1,2,16380.0,-12285.0,-12285.0,18
5,1,2,16380.0,-12285.0,-12285.0,18
4,1,2,16380.0,-12285.0,-12285.0,18
6,1,2,16380.0,-12285.0,-12285.0,18
2,1,2,16380.0,-12285.0,-12285.0,18
1,1,2,16380.0,-12285.0,-12285.0,18
45,1,2,12000.0,-9000.0,-9000.0,17
101,1,2,12000.0,-9000.0,-9000.0,17
94,1,2,12000.0,-9000.0,-9000.0,17
11,1,2,12000.0,-9000.0,-9000.0,17
93,1,2,12000.0,-9000.0,-9000.0,17
91,1,2,12000.0,-9000.0,-9000.0,17
49,1,2,12000.0,-9000.0,-9000.0,17
47,1,2,12000.0,-9000.0,-9000.0,17
53,1,2,12000.0,-9000.0,-9000.0,17
85,1,2,12000.0,-9000.0,-9000.0,17
9,1,2,12000.0,-9000.0,-9000.0,17
51,1,2,12000.0,-9000.0,-9000.0,17
97,1,2,12000.0,-9000.0,-9000.0,17
90,1,2,12000.0,-9000.0,-9000.0,17
87,1,2,12000.0,-9000.0,-9000.0,17
66,1,2,16380.0,-12285.0,-12285.0,17
86,1,2,16380.0,-12285.0,-12285.0,17
30,1,2,16380.0,-12285.0,-12285.0,17
106,1,2,16380.0,-12285.0,-12285.0,17
62,1,2,16380.0,-12285.0,-12285.0,17
10,1,2,16380.0,-12285.0,-12285.0,17
111,1,2,16380.0,-12285.0,-12285.0,17
103,1,2,16380.0,-12285.0,-12285.0,17
110,1,2,16380.0,-12285.0,-12285.0,17
20,1,2,16380.0,-12285.0,-12285.0,17
46,1,2,16380.0,-12285.0,-12285.0,17
56,1,2,16380.0,-12285.0,-12285.0,17
34,1,2,16380.0,-12285.0,-12285.0,17
55,1,2,16380.0,-12285.0,-12285.0,17
114,1,2,16380.0,-12285.0,-12285.0,17
13,1,2,16380.0,-12285.0,-12285.0,17
25,1,2,16380.0,-12285.0,-12285.0,17
63,1,2,16380.0,-12285.0,-12285.0,17
113,1,2,16380.0,-12285.0,-12285.0,17
57,1,2,16380.0,-12285.0,-12285.0,17
65,1,2,16380.0,-12285.0,-12285.0,17
73,1,2,16380.0,-12285.0,-12285.0,17
44,1,2,16380.0,-12285.0,-12285.0,17
79,1,2,16380.0,-12285.0,-12285.0,17
24,1,2,12000.0,-9000.0,-9000.0,17
67,1,2,16380.0,-12285.0,-12285.0,17
8,1,2,16380.0,-12285.0,-12285.0,17
88,1,2,16380.0,-12285.0,-12285.0,17
14,1,2,12000.0,-9000.0,-9000.0,17
15,1,2,12000.0,-9000.0,-9000.0,17
82,1,2,16380.0,-12285.0,-12285.0,17
28,1,2,12000.0,-9000.0,-9000.0,17
109,1,2,16380.0,-12285.0,-12285.0,17
70,1,2,16380.0,-12285.0,-12285.0,17
75,1,2,16380.0,-12285.0,-12285.0,17
107,1,2,16380.0,-12285.0,-12285.0,17
61,1,2,16380.0,-12285.0,-12285.0,17
58,1,2,16380.0,-12285.0,-12285.0,17
121,1,2,16380.0,-12285.0,-12285.0,17
92,1,2,16380.0,-12285.0,-12285.0,17
78,1,2,16380.0,-12285.0,-12285.0,17
115,1,2,16380.0,-12285.0,-12285.0,17
33,1,2,16380.0,-12285.0,-12285.0,17
116,1,2,16380.0,-12285.0,-12285.0,17
29,1,2,16380.0,-12285.0,-12285.0,17
76,1,2,16380.0,-12285.0,-12285.0,17
104,1,2,16380.0,-12285.0,-12285.0,17
43,1,2,16380.0,-12285.0,-12285.0,17
112,1,2,16380.0,-12285.0,-12285.0,17
74,1,2,16380.0,-12285.0,-12285.0,17
83,1,2,16380.0,-12285.0,-12285.0,17
16,1,2,16380.0,-12285.0,-12285.0,17
118,1,2,16380.0,-12285.0,-12285.0,17
69,1,2,16380.0,-12285.0,-12285.0,17
96,1,2,16380.0,-12285.0,-12285.0,17
60,1,2,16380.0,-12285.0,-12285.0,17
72,1,2,16380.0,-12285.0,-12285.0,17
77,1,2,16380.0,-12285.0,-12285.0,17
21,1,2,16380.0,-12285.0,-12285.0,17
108,1,2,16380.0,-12285.0,-12285.0,17
84,1,2,16380.0,-12285.0,-12285.0,17
50,1,2,16380.0,-12285.0,-12285.0,17
40,1,2,16380.0,-12285.0,-12285.0,17
68,1,2,16380.0,-12285.0,-12285.0,17
39,1,2,12000.0,-9000.0,-9000.0,17
32,1,2,12000.0,-9000.0,-9000.0,17
36,1,2,12000.0,-9000.0,-9000.0,17
59,1,2,16380.0,-12285.0,-12285.0,17
80,1,2,16380.0,-12285.0,-12285.0,17
98,1,2,16380.0,-12285.0,-12285.0,17
119,1,2,16380.0,-12285.0,-12285.0,17
81,1,2,16380.0,-12285.0,-12285.0,17
35,1,2,16380.0,-12285.0,-12285.0,17
95,1,2,16380.0,-12285.0,-12285.0,17
38,1,2,16380.0,-12285.0,-12285.0,17
27,1,2,12000.0,-9000.0,-9000.0,17
19,1,2,12000.0,-9000.0,-9000.0,17
23,1,2,12000.0,-9000.0,-9000.0,17
64,1,2,16380.0,-12285.0,-12285.0,17
54,1,2,16380.0,-12285.0,-12285.0,17
71,1,2,16380.0,-12285.0,-12285.0,17
99,1,2,16380.0,-12285.0,-12285.0,17
48,1,2,16380.0,-12285.0,-12285.0,17
26,1,2,16380.0,-12285.0,-12285.0,17
117,1,2,16380.0,-12285.0,-12285.0,17
52,1,2,16380.0,-12285.0,-12285.0,17
12,1,2,16380.0,-12285.0,-12285.0,17
37,1,2,16380.0,-12285.0,-12285.0,17
42,1,2,16380.0,-12285.0,-12285.0,17
31,1,2,16380.0,-12285.0,-12285.0,17
18,1,2,16380.0,-12285.0,-12285.0,17
17,1,2,16380.0,-12285.0,-12285.0,17
22,1,2,16380.0,-12285.0,-12285.0,17
102,1,2,16380.0,-12285.0,-12285.0,17
120,1,2,16380.0,-12285.0,-12285.0,17
100,1,2,16380.0,-12285.0,-12285.0,17
105,1,2,16380.0,-12285.0,-12285.0,17
41,1,2,16380.0,-12285.0,-12285.0,17
89,1,2,16380.0,-12285.0,-12285.0,17
368,1,1,16140.0,40144.92955,40144.92955,16
354,1,1,16140.0,74489.6069,74489.6069,16
424,1,1,16140.0,12257.01667,12257.01667,16
353,1,1,16140.0,92905.8584,92905.8584,16
472,1,1,16140.0,8737.829399999999,8737.829399999999,16
436,1,1,16140.0,9854.398290000001,9854.398290000001,16
460,1,1,16140.0,8312.15599,8312.15599,16
339,1,1,16140.0,106131.8315,106131.8315,16
397,1,1,16140.0,17081.81687,17081.81687,16
411,1,1,16140.0,13387.12947,13387.12947,16
382,1,1,16260.0,94055.7679,94055.7679,16
448,1,1,16140.0,8445.51947,8445.51947,16
325,1,1,16140.0,120207.64660000001,120207.64660000001,16
484,1,1,16140.0,10155.73749,10155.73749,16
438,1,2,12000.0,-9000.0,-9000.0,16
329,1,2,12000.0,-9000.0,-9000.0,16
510,1,2,12000.0,-9000.0,-9000.0,16
536,1,2,12000.0,-9000.0,-9000.0,16
182,1,2,12000.0,-9000.0,-9000.0,16
579,1,2,12000.0,-9000.0,-9000.0,16
288,1,2,12000.0,-9000.0,-9000.0,16
314,1,2,12000.0,-9000.0,-9000.0,16
201,1,2,12000.0,-9000.0,-9000.0,16
398,1,2,12000.0,-9000.0,-9000.0,16
387,1,2,12000.0,-9000.0,-9000.0,16
462,1,2,12000.0,-9000.0,-9000.0,16
464,1,2,12000.0,-9000.0,-9000.0,16
188,1,2,12000.0,-9000.0,-9000.0,16
331,1,2,12000.0,-9000.0,-9000.0,16
562,1,2,12000.0,-9000.0,-9000.0,16
231,1,2,12000.0,-9000.0,-9000.0,16
278,1,2,12000.0,-9000.0,-9000.0,16
428,1,2,12000.0,-9000.0,-9000.0,16
550,1,2,12000.0,-9000.0,-9000.0,16
399,1,2,12000.0,-9000.0,-9000.0,16
441,1,2,12000.0,-9000.0,-9000.0,16
357,1,2,12000.0,-9000.0,-9000.0,16
437,1,2,12000.0,-9000.0,-9000.0,16
412,1,2,12000.0,-9000.0,-9000.0,16
251,1,2,12000.0,-9000.0,-9000.0,16
361,1,2,12000.0,-9000.0,-9000.0,16
414,1,2,12000.0,-9000.0,-9000.0,16
370,1,2,12000.0,-9000.0,-9000.0,16
486,1,2,12000.0,-9000.0,-9000.0,16
218,1,2,12000.0,-9000.0,-9000.0,16
269,1,2,12000.0,-9000.0,-9000.0,16
453,1,2,12000.0,-9000.0,-9000.0,16
299,1,2,12000.0,-9000.0,-9000.0,16
451,1,2,12000.0,-9000.0,-9000.0,16
225,1,2,12000.0,-9000.0,-9000.0,16
511,1,2,12000.0,-9000.0,-9000.0,16
373,1,2,12000.0,-9000.0,-9000.0,16
300,1,2,12000.0,-9000.0,-9000.0,16
330,1,2,12000.0,-9000.0,-9000.0,16
302,1,2,12000.0,-9000.0,-9000.0,16
355,1,2,12000.0,-9000.0,-9000.0,16
400,1,2,12000.0,-9000.0,-9000.0,16
289,1,2,12000.0,-9000.0,-9000.0,16
259,1,2,12000.0,-9000.0,-9000.0,16
243,1,2,12000.0,-9000.0,-9000.0,16
384,1,2,12000.0,-9000.0,-9000.0,16
413,1,2,12000.0,-9000.0,-9000.0,16
497,1,2,12000.0,-9000.0,-9000.0,16
388,1,2,12000.0,-9000.0,-9000.0,16
298,1,2,12000.0,-9000.0,-9000.0,16
372,1,2,12000.0,-9000.0,-9000.0,16
287,1,2,12000.0,-9000.0,-9000.0,16
279,1,2,12000.0,-9000.0,-9000.0,16
344,1,2,12000.0,-9000.0,-9000.0,16
386,1,2,12000.0,-9000.0,-9000.0,16
236,1,2,12000.0,-9000.0,-9000.0,16
316,1,2,12000.0,-9000.0,-9000.0,16
237,1,2,12000.0,-9000.0,-9000.0,16
