id,year,dest,tonn,cashflow,discounted,z
1,1,2,16380.0,-12285.0,-12285.0,18
2,1,2,16380.0,-12285.0,-12285.0,18
3,1,2,16380.0,-12285.0,-12285.0,18
4,1,2,16380.0,-12285.0,-12285.0,18
5,1,2,16380.0,-12285.0,-12285.0,18
6,1,2,16380.0,-12285.0,-12285.0,18
7,1,2,16380.0,-12285.0,-12285.0,18
0,1,2,16380.0,-12285.0,-12285.0,18
76,1,2,16380.0,-12285.0,-12285.0,17
73,1,2,16380.0,-12285.0,-12285.0,17
70,1,2,16380.0,-12285.0,-12285.0,17
67,1,2,16380.0,-12285.0,-12285.0,17
75,1,2,16380.0,-12285.0,-12285.0,17
72,1,2,16380.0,-12285.0,-12285.0,17
78,1,2,16380.0,-12285.0,-12285.0,17
80,1,2,16380.0,-12285.0,-12285.0,17
69,1,2,16380.0,-12285.0,-12285.0,17
82,1,2,16380.0,-12285.0,-12285.0,17
44,1,2,16380.0,-12285.0,-12285.0,17
46,1,2,16380.0,-12285.0,-12285.0,17
41,1,2,16380.0,-12285.0,-12285.0,17
48,1,2,16380.0,-12285.0,-12285.0,17
50,1,2,16380.0,-12285.0,-12285.0,17
38,1,2,16380.0,-12285.0,-12285.0,17
84,1,2,16380.0,-12285.0,-12285.0,17
89,1,2,16380.0,-12285.0,-12285.0,17
21,1,2,16380.0,-12285.0,-12285.0,17
17,1,2,16380.0,-12285.0,-12285.0,17
25,1,2,16380.0,-12285.0,-12285.0,17
40,1,2,16380.0,-12285.0,-12285.0,17
43,1,2,16380.0,-12285.0,-12285.0,17
45,1,2,12000.0,-9000.0,-9000.0,17
37,1,2,16380.0,-12285.0,-12285.0,17
47,1,2,12000.0,-9000.0,-9000.0,17
49,1,2,12000.0,-9000.0,-9000.0,17
52,1,2,16380.0,-12285.0,-12285.0,17
51,1,2,12000.0,-9000.0,-9000.0,17
54,1,2,16380.0,-12285.0,-12285.0,17
29,1,2,16380.0,-12285.0,-12285.0,17
30,1,2,16380.0,-12285.0,-12285.0,17
33,1,2,16380.0,-12285.0,-12285.0,17
34,1,2,16380.0,-12285.0,-12285.0,17
96,1,2,16380.0,-12285.0,-12285.0,17
74,1,2,16380.0,-12285.0,-12285.0,17
71,1,2,16380.0,-12285.0,-12285.0,17
68,1,2,16380.0,-12285.0,-12285.0,17
77,1,2,16380.0,-12285.0,-12285.0,17
86,1,2,16380.0,-12285.0,-12285.0,17
53,1,2,12000.0,-9000.0,-9000.0,17
56,1,2,16380.0,-12285.0,-12285.0,17
79,1,2,16380.0,-12285.0,-12285.0,17
92,1,2,16380.0,-12285.0,-12285.0,17
100,1,2,16380.0,-12285.0,-12285.0,17
55,1,2,16380.0,-12285.0,-12285.0,17
20,1,2,16380.0,-12285.0,-12285.0,17
16,1,2,16380.0,-12285.0,-12285.0,17
13,1,2,16380.0,-12285.0,-12285.0,17
95,1,2,16380.0,-12285.0,-12285.0,17
58,1,2,16380.0,-12285.0,-12285.0,17
65,1,2,16380.0,-12285.0,-12285.0,17
66,1,2,16380.0,-12285.0,-12285.0,17
104,1,2,16380.0,-12285.0,-12285.0,17
59,1,2,16380.0,-12285.0,-12285.0,17
60,1,2,16380.0,-12285.0,-12285.0,17
