year,ore_tonn,waste_tonn,cashflow,discounted,cum_discounted
1,9997187.344,2188144526.042,-1589882431.91379,-1589882431.91379,-1589882431.91379
2,9997154.891999999,5748820.912,22595518.31163,19648276.79272174,-1570234155.1210682
3,9999026.865,541450.029,43761942.1448,33090315.42139887,-1537143839.6996694
4,9988621.968,33645656.23,23955547.029899992,15751161.028947156,-1521392678.6707222
5,9953950.11,11709681.752,35007728.00349999,20015782.106839247,-1501376896.563883
6,9939740.011,16861413.073,25891835.286299996,12872818.138523694,-1488504078.4253595
7,9980624.486,55015389.719,-5351017.1631299965,-2313392.38581747,-1490817470.811177
8,9958830.015999999,7756911.277,27947619.917949997,10506545.504849786,-1480310925.3063273
9,9951090.022999998,23701104.011,16147642.609999992,5278693.012642959,-1475032232.2936845
10,9941930.032000002,6651881.225,30274131.994850002,8605797.783277808,-1466426434.5104067
11,9953150.048,48673998.677999996,-3049971.2382999957,-753906.2442193329,-1467180340.754626
12,9966820.055999998,12017672.033999998,22223346.2892,4776757.670904661,-1462403583.0837214
13,9962930.071999999,5238550.801999999,26707065.3081,4991741.4665861465,-1457411841.6171353
14,9951140.124,3303750.5020000003,27821470.2124,4521766.705567742,-1452890074.9115674
15,9959380.084999999,28132635.027,7067177.914899996,998794.7704620827,-1451891280.1411054
16,9955210.121,50532178.834,-16369369.79983,-2011705.2746858895,-1453902985.4157913
17,9976340.183999998,16647972.906,11673012.735500002,1247433.8181953118,-1452655551.597596
18,9974340.146,1733280.2520000003,27630675.565300003,2567605.0279570613,-1450087946.569639
19,9951260.175,24262554.524,9916225.701229997,801281.7968160355,-1449286664.7728229
20,9936860.271,33650165.919,-1733216.6870000102,-121785.02649613959,-1449408449.799319
